NOM ÉTABLISSEMENT,CATÉGORIES,TAGS,ADRESSE,VILLE,CP,RÉGION,Pays,Accroche,Description,COVER IMG,Logo,Web,Facebook,Instagram,Contact,Téléphone,
ATTITUDE SAUNA,Saunas,"Gay,Membre du SNEG&Co	","35 Rue Duperré, 29200 BREST",Brest,29200,Bretagne,France,Détente bretonne assurée.,"Attitude Sauna est un sauna club gay et mixte à Brest, ouvert à hommes, femmes, gays, hétéros ou transsexuels, avec sauna sec, hammam, spa, lounge bar, cabines, salle vidéo, labyrinthe et sling.",,,https://www.attitudesauna.com/,https://www.facebook.com/p/Attitude-sauna-100063535514097/,,contact@attitudesauna.com,02 98 80 68 57,
NIMES CLUB SAUNA,Saunas,,"7/9 Rue Fernand Pelloutier, 30900 NÎMES",Nîmes,30900,Occitanie,France,Relaxation dans l’esprit romain.,"Sauna et club à Nîmes, inspiré par l’héritage romain, avec hammam et espace lounge.",,,http://www.nimesclubsauna.fr/,,,,04 66 67 65 18,
CLUB 72,Restaurants,Membre du SNEG&Co,"11 Rue du Béarnais, 31000 TOULOUSE",Toulouse,31000,Occitanie,France,Soirées vibrantes à Toulouse.,"Le site rencontres.club72.fr est une plateforme de rencontres pour adultes, avec profils certifiés, réservé aux personnes majeures.",,,https://rencontres.club72.fr/,https://www.facebook.com/Club72Toulouse/,https://www.instagram.com/club72toulouse/,infos@club72.fr,05 62 72 81 55,
LE KS,Saunas,Membre du SNEG&Co,"6 rue Saint-Ferréol, 31000 TOULOUSE",Toulouse,31000,Occitanie,France,L’élégance toulousaine en soirée.,Bar lounge offrant cocktails et ambiance sophistiquée au centre de Toulouse.,,,https://www.kssauna.fr/,https://www.facebook.com/KSToulouse/,https://www.instagram.com/saunakstoulouse/,info@kssauna.fr,05 61 62 13 61,
LE RED,Saunas,,56 port Saint-Sauveur 31000 TOULOUSE,Toulouse,31000,Occitanie,France,Chaleur et passion à Toulouse.,"Le RED CLUB est une salle polyvalente de spectacle orientée sur le clubbing, à TOURS (Indre et Loire).",,,https://redclub.fr/,https://www.facebook.com/Red.Club.Toulouse/,,,,
LES BAINS DE ST AUBIN,Saunas,,"5 Impasse Saint-Aubin, 31000 TOULOUSE",Toulouse,31000,Occitanie,France,Détente au cœur de Toulouse.,"Les Bains de Saint-Aubin est un sauna club libertin à Toulouse, offrant un univers cosy, sensuel et audacieux avec espace balneo, jacuzzi, sauna, zone shibari, coin des Délices, zone Couple et Glory Holes. Engagement sur hygiène, propreté, discrétion et respect.",,,https://lesbainsdesaintaubin.com/,https://www.facebook.com/lesbainsdestaubin/,https://www.instagram.com/lesbainsdestaubin/,lesbainstlse@gmail.com,05 61 62 45 46,
BEAR'S TOULOUSE,Bars,Membre du SNEG&Co,44 Boulevard de la Gare 31300 TOULOUSE,Toulouse,31300,Occitanie,France,Convivialité et chaleur toulousaine.,"Le Bear's Bar est un bar musical masculin à Toulouse, ouvert jeudis à dimanches, proposant soirées DJ, karaoké et afters. Le G-Boy est un club discothèque LGBTQIA++ ouvert à tous, avec bars, salle fumeur, DJ et backroom.",,,https://bears-toulouse.club/,https://www.facebook.com/bears-toulouse.club/,https://www.instagram.com/bears.toulouse/,contact@bears-toulouse.club,05 61 61 54 28,
LE BUSTER,Bars,"Gay,Membre du SNEG&Co	","34 rue de Cursol, 33000 BORDEAUX",Bordeaux,33000,Nouvelle-Aquitaine,France,Vibrez au rythme de Bordeaux.,"Buster Bar est un bar gay à Bordeaux, offrant cocktails et fun, avec clients du monde entier et de France.",,,https://www.facebook.com/BusterBarOfficial/,https://www.facebook.com/BusterBarOfficial/,,,05 56 92 59 43,
CRUNCH SAUNA,Saunas,"Gay,Membre du SNEG&Co	","62 Cours Anatole France, 33000 BORDEAUX",Bordeaux,33000,Nouvelle-Aquitaine,France,Détente bordelaise garantie.,"Le Sauna Crunch est un établissement 100% masculin à Bordeaux, concept 'Sauna Bar ambiance Sex' avec bar, sauna sec, hammam, jacuzzi, espace cruising, backrooms, glory holes et cabines thématiques. Ambiance fun, discrète et tolérante, ouvert à tous âges et orientations.",,,https://sauna-crunch.com/,,,,05 56 93 02 80,
KONCEPT SAUNA,Saunas,Membre du SNEG&Co,"10 bis Avenue de Lodève, 34070 MONTPELLIER",Montpellier,34070,Occitanie,France,Relaxation moderne à Montpellier.,"Koncept Sauna est le sauna gay, bi et hétéro-friendly numéro 1 de Montpellier, ouvert 7 jours sur 7 de 13h à 1h, climatisé à 22°C.",,,https://konceptsauna.com/,,,,04 67 58 25 27,
SAUNA H2O,Saunas,,"44 Avenue Gambetta, 34500 BÉZIERS",Béziers,34500,Occitanie,France,Fraîcheur et détente à Béziers.,"H2o Sauna est un espace moderne 100% gay à Béziers, avec jacuzzi, bar, hammam, cabines, backroom avec table tournante et glory hole. Réservé aux majeurs, ouvert 7j/7 sauf fêtes.",,,https://www.h2o-sauna.fr/,https://www.facebook.com/h2obeziers/,,,09 54 90 70 41,
SOCIAL CLUB,Bars,,"3 Route de Lyon, 38000 GRENOBLE",Grenoble,38000,Auvergne-Rhône-Alpes,France,Rencontres et détente à Grenoble.,Club social offrant bar et espace détente dans une ambiance alpine chaleureuse.,,,https://www.facebook.com/lesocialclubgrenoble/,https://www.facebook.com/lesocialclubgrenoble/,,,07 59 81 63 96,
GEORGE V,Clubs,Membre du SNEG&Co,"124 Cours Berriat, 38000 GRENOBLE",Grenoble,38000,Auvergne-Rhône-Alpes,France,Luxe et relaxation à Grenoble.,Sauna et bar haut de gamme proposant une expérience élégante dans un cadre moderne.,,,https://www.facebook.com/discotheque.le.george.v/,,,,,
LES DUNES,Saunas,,16 Rue de la Megisserie 38000 GRENOBLE,Grenoble,38000,Auvergne-Rhône-Alpes,France,Oasis de détente à Grenoble.,"Les Dunes est un club libertin à Grenoble, offrant ambiance érotique, respect et consentement, avec hammam à l'eucalyptus, jacuzzi, sauna et coins câlins. Hygiène, accueil chaleureux et atmosphère agréable.",,,https://www.lesdunes38.fr/,https://www.facebook.com/people/Les-Dunes-Grenoble/100063215860146/,https://www.instagram.com/les_dunes_grenoble/,lesdunesgrenoble38@gmail.com,04 76 84 90 56,
LE MIKONOS,Saunas,Membre du SNEG&Co,"11 Rue Jean Claude Verpilleux, 42000 SAINT-ÉTIENNE",Saint-Étienne,42100,Auvergne-Rhône-Alpes,France,Évasion méditerranéenne à Saint-Étienne.,"Club inspiré par la Grèce, proposant bar et soirées dansantes dans une ambiance ensoleillée.",,,https://www.clubgay-lemikonos.fr/,https://www.facebook.com/p/Sauna-Hammam-Masculin-Le-Mikonos-100063481393060/,,club.asso.le.mikonos@gmail.com,09 53 95 69 34,
L'AUTRE QUAI,Cruising,Membre du SNEG&Co,"68 Quai de la Fosse, 44100 NANTES",Nantes,44100,Pays de la Loire,France,Détente au bord de la Loire.,"L'Autre Quai est un bar cruising gay à Nantes, avec backroom, darkroom, vidéos gays, ouvert mercredis-jeudis 19h-4h, vendredis-samedis 22h-4h, dimanches 14h-4h, proposant soirées thématiques comme NATURISTE & CAGOULE, NAKED SEX EXPRESS.",,,http://www.lautrequai.com/main.php,,,,02 40 71 68 05,
SAUNA JAURES (45),Saunas,,"17 Boulevard Jean Jaurès, 45000 ORLÉANS",Orléans,45000,Centre-Val de Loire,France,Relaxation au cœur d’Orléans.,Sauna moderne proposant hammam et espace lounge dans une ambiance conviviale.,,,https://saunajaures.fr/,https://www.facebook.com/p/Sauna-Jaures-Orleans-100069828676949/,,,02 38 62 83 71,
SAUNA LE LOTUS,Saunas,,"33 Rue de Witry, 51100 REIMS",Reims,51100,Grand Est,France,Détente pétillante à Reims.,"Le Lotus est un sauna libertin à Reims, ouvert à clientèle mixte (hétéro, gay, bi), avec hammam, sauna, vestiaire sécurisé, pièces thématiques, glory hole, salons intimes, bar, films X. Ambiance chaleureuse, respectueuse et sans tabou.",,,https://www.sauna-lotus.fr/,https://www.facebook.com/p/Sauna-Le-Lotus-Reims-100092455452832/,,,03 26 07 06 75,
LA DETENTE,Saunas,Membre du SNEG&Co,"5 rue Alfred Mézières, 54000 NANCY",Nancy,54000,Grand Est,France,Sérénité à Nancy.,"Sauna la Détente est un sauna mixte pour hommes, axé sur relaxation et évasion du stress, avec sauna sec, hammam, salon détente, bar, snacks, salle de projection, cabines, labyrinthe, sling, coin fumeur. Climatisé, hygiène et convivialité prioritaires.",,,https://www.sauna-ladetente.fr/,,,,,
LE RUBIS CLUB,Bars,,"18 Avenue Jolain, 54210 SAINT-NICOLAS-DE-PORT",Saint-Nicolas de Port,54210,Grand Est,France,Éclat et convivialité.,Club proposant soirées dansantes et cocktails dans une ambiance vibrante.,,,https://www.rubis-club.fr/,,,,06 19 27 25 29,
LE KOROSKO,Saunas,Membre du SNEG&Co,"18 rue Lazare Carnot, 56100 LORIENT",Lorient,56100,Bretagne,France,Détente exotique à Lorient.,"Le Korosko est un sauna libertin non conformiste, gays et échangiste à Lorient, avec journées gays, mixtes, soirées couples et TTC. Installations : sauna finlandais, hammam double, grand jacuzzi, bar sans alcool, salons vidéos, cabines, sling.",,,https://www.lekorosko.com/,,,,02 97 35 07 50,
LE KEEWEE,Cruising,Membre du SNEG&Co,"15 Rue d’Irlande, 56860 SÉNÉ",Sene,56860,Bretagne,France,Ambiance tropicale à Séné.,"Le Keewee est un sexshop, bar, boutique et lieu de cruising urbain à Vannes (Séné), proposant soirées gang bang et événements, réservé aux majeurs.",,,https://lekeewee.com/,https://www.facebook.com/people/Le-Keewee/100066637524604/,,,09 83 00 08 58,
BLUE CLUB,Saunas,Membre du SNEG&Co,"8 Rue Sébastien-Leclerc, 57000 METZ",Metz,57000,Grand Est,France,Soirées bleues à Metz.,"Le Sauna Blue Club est l’unique sauna gay de Metz, offrant un espace de 160 m² avec sauna, hammam, douches, cabines privées, bar sans alcool, protections intimes. Respect, bienveillance et accessibilité PMR prioritaires, réservé aux +18 ans.",,,https://www.saunablueclub.fr/,https://www.facebook.com/saunablueclub/,https://www.instagram.com/sauna_blue_club57,,03 87 18 09 40,
LE PRIVILEGE (59),Saunas,Membre du SNEG&Co,2 rue Royale 59000 LILLE,Lille,59000,Hauts-de-France,France,Luxe et détente à Lille.,Sauna et bar haut de gamme proposant une expérience exclusive.,,,https://www.facebook.com/privilege.lille/,https://www.facebook.com/privilege.lille/,,,,
LE SLING,Saunas,,"32 Rue Jean Jaurès, 59000 LILLE",Lille,59000,Hauts-de-France,France,Vibrez à Lille.,"Le Sling est un espace cruising de 300 m² sur 3 niveaux dans une ancienne usine à Lille, pour vivre des plans XXL en liberté.",,,https://www.lesling.com/,,,,,
LES BAINS,Saunas,,"52 Rue de Cambrai, 59000 LILLE",Lille,59000,Hauts-de-France,France,Relaxation au cœur de Lille.,Sauna élégant offrant hammam et jacuzzi dans une ambiance chaleureuse.,,,https://www.facebook.com/saunalesbainslille/,https://www.facebook.com/saunalesbainslille/,,info@lesbains.fr,03 20 53 02 02,
LE PIED MARIN,Bars,Membre du SNEG&Co,2 Rue du Nouvel Arsenal 59140 DUNKERQUE,Dunkerque,59140,Hauts-de-France,France,Ambiance maritime à Dunkerque.,Bar et club offrant une expérience inspirée par la mer.,,,https://lepiedmarin.fr/,https://www.facebook.com/p/LE-PIED-MARIN-100063557163880/,,,03 28 51 16 00,
CHEZ BRIGITTE,Bars,"Gay,Membre du SNEG&Co	","13 Rue des Bouchers, 59000 LILLE",Lille,59800,Hauts-de-France,France,Convivialité lilloise assurée.,Bar chaleureux offrant une ambiance intime et des cocktails artisanaux.,,,https://www.chezbrigittelille.com/,https://www.facebook.com/chezbrigittelille/,,,,
LE KOKALAN,Cruising,Membre du SNEG&Co,"37 Rue Royale, 59800 LILLE",Lille,59800,Hauts-de-France,France,Soirées exotiques à Lille.,Club à thème proposant cocktails tropicaux et soirées dansantes.,,,https://www.facebook.com/LeKokalan/,https://www.facebook.com/LeKokalan/,,,06 42 38 46 35,
LA CHTITE BRIGITTE,Restaurants,,"10 Rue des Bouchers, 59000 LILLE",Lille,59800,Hauts-de-France,France,Petit coin de détente à Lille.,"L'Estaminet CH’TITE Brigitte propose une cuisine locale faite maison avec produits frais du terroir, dans une ambiance conviviale.",,,https://www.chtitebrigitte.com/,https://www.facebook.com/chtitebrigitte/,,,03 20 20 99 89,
LE CU3E,Saunas,"Gay,Membre du SNEG&Co	","5 Ter Rue du Vieux Faubourg, 59000 LILLE",Lille,59800,Hauts-de-France,France,Vibrez dans l’ambiance lilloise.,"Le Cube est un sex shop et espace cruising de 300 m² avec DVDs, accessoires, cinémas, cabines, glory holes, backrooms et sling, accueillant gays, hétéros, couples et travestis.",,,https://www.cubelille.com/,https://www.facebook.com/cube.lille/,,le.cube@orange.fr,03 28 07 98 95,
8 Baquis,Associations,,"8 Avenue Baquis, Nice, 06000",Nice,60000,Hauts-de-France,France,Santé sexuelle inclusive pour la communauté LGBTQIA+ !,"Le 8 Baquis est un espace de santé sexuelle pilote à destination des personnes LGBTQIA+, installé à Nice. Il est le fruit d'une collaboration innovante entre le Centre LGBTQIA+ Côte d'Azur et le Département des Alpes-Maritimes.",,,,https://www.facebook.com/8baquis,,,,
ABYSSE SAUNA,Saunas,Membre du SNEG&Co,"4 Rue Théodore Lemaître, 61000 ALENÇON",Alençon,61000,Normandie,France,Plongez dans la détente.,Sauna moderne offrant hammam et jacuzzi dans une ambiance relaxante.,,,https://www.facebook.com/p/Abysse-Sauna-Club-100084101231056/,https://www.facebook.com/p/Abysse-Sauna-Club-100084101231056/,,,02 33 31 86 56,
LE VIADUC,Saunas,,"12 bis Rue des Prés-Bas, 63000 CLERMONT-FERRAND",Clermont Ferrand,63000,Auvergne-Rhône-Alpes,France,Détente au pied des volcans.,"Le Viaduc est un sauna club libertin à Clermont-Fd, espace mixte ouvert tous les jours à partir de 13h, réservé aux +18 ans, axé sur plaisir, discrétion, respect et hygiène.",,,http://www.saunaviaduc.com/,https://www.facebook.com/saunaleviaduc/,,,04 73 29 21 38,
DK BAR,Bars,"Gay,Membre du SNEG&Co	","6 Rue René Fournets, 64000 PAU",Pau,64000,Nouvelle-Aquitaine,France,Ambiance décontractée à Pau.,Bar lounge offrant cocktails et soirées dans une ambiance moderne.,,,https://www.facebook.com/DKBarPau/,https://www.facebook.com/DKBarPau/,,,05 59 83 92 78,
TAKATA,Bars,,"4 Rue d’Étigny, 64000 PAU",Pau,64000,Nouvelle-Aquitaine,France,Soirées vibrantes à Pau.,Club proposant piste de danse et cocktails dans une ambiance festive.,,,https://www.facebook.com/TAKATA.BAR/,https://www.facebook.com/TAKATA.BAR/,,,,
S 64,Saunas,,"70 Boulevard Alsace-Lorraine, 64100 BAYONNE",Bayonne,64100,Nouvelle-Aquitaine,France,Détente basque assurée.,Sauna et club offrant une ambiance chaleureuse avec une touche basque.,,,http://www.s64-sauna-bayonne.com/,,,,05 59 64 84 52,
LA PLAGE,Saunas,"Gay,Membre du SNEG&Co	","61 Rue du Bruscos, 64230 SAUVAGNON",Sauvagnon,64230,Nouvelle-Aquitaine,France,Ambiance balnéaire à Sauvagnon.,"Complexe libertin à Pau avec club discothèque de 180 m² et zone humide (spa 25m², hammam, sauna).",,,https://www.la-plage.net/,,,,05 59 71 72 97,
LE DESTRESSIUM,Saunas,"Gay,Membre du SNEG&Co	",9 rue Joseph Cugnot 66000 PERPIGNAN,Perpignan ,66000,Occitanie,France,Détente totale à Perpignan.,"Le Déstressium est un sauna libertin luxueux de 300 m² à Perpignan, havre de plaisir et détente, avec événements thématiques, actions de prévention santé et accueil attentionné.",,,https://ledestressium.fr/,https://www.facebook.com/SaunaLeDestressium/,,,06 60 77 41 30,
ANTR'ACTE,Bars,Membre du SNEG&Co,"10 Rue du Faisan, 67000 STRASBOURG",Strasbourg,67000,Grand Est,France,Pause festive à Strasbourg.,Bar lounge offrant cocktails et soirées dans une ambiance élégante.,,,https://www.antracte.fr/,,,,03 88 32 61 86,
CANAPE QUEER,Saunas,"Gay,Membre du SNEG&Co	",20 Rue des Couples 67000 STRASBOURG,Strasbourg,67000,Grand Est,France,Soirées inclusives à Strasbourg.,Club accueillant proposant soirées dansantes et cocktails dans une ambiance festive.,,,https://www.facebook.com/Canape.Queer.Strasbourg/,https://www.facebook.com/Canape.Queer.Strasbourg/,,,,
L'EQUATEUR (67),Saunas,"Gay,Membre du SNEG&Co	","5 Rue de Rosheim, 67000 STRASBOURG",Strasbourg,67000,Grand Est,France,Chaleur tropicale à Strasbourg.,Bar à thème offrant cocktails exotiques et soirées dansantes.,,,https://www.facebook.com/loxydo/,,,,03 88 22 25 22,
OXYDO SAUNA,Saunas,,3 Place Clément 67000 STRASBOURG,Strasbourg,67000,Grand Est,France,Détente pure à Strasbourg.,"L'Antracte est un sex club à Strasbourg avec salle vidéo, labyrinthe, glory holes, slings, cabines, coin boissons. Journées mixtes lundi, mercredi, vendredi.",,,https://www.antracte.fr/,,,,03 88 16 07 70,
LE IT BAR,Bars,"Gay,Membre du SNEG&Co	",20 bis montée Saint-Sébastien 69001 LYON,Lyon,69001,Auvergne-Rhône-Alpes,France,Le rendez-vous branché de Lyon.,Bar animé proposant cocktails et soirées dans une ambiance moderne.,,,https://www.facebook.com/p/LE-IT-BAR-100063607252684/,,,,04 72 07 63 38,
LE TROU,Cruising,,"6 Rue Romarin, 69001 LYON",Lyon,69001,Auvergne-Rhône-Alpes,France,Détente audacieuse à Lyon.,"Le Trou est un club de cruising gay emblématique à Lyon depuis plus de 20 ans, lieu où pudeur et timidité se déposent au vestiaire, réservé aux +18 ans.",,,https://www.letrou.fr/,https://www.facebook.com/p/LE-TROU-LYON-100063585820577/,,,04 81 65 16 03,
DOUBLE SIDE (69),Saunas,"Gay,Membre du SNEG&Co	",8 Rue Constantine 69001 LYON,Lyon,69001,Auvergne-Rhône-Alpes,France,"Deux ambiances, une soirée.","Double Side est un club sauna gay avec cabines, sauna, glory holes, slings, X-rated movies, massage, bar. Soirées thématiques pour naturistes, Bears, jeunes.",,,https://doubleside.fr/,https://www.facebook.com/doubleside.lyon/,,,04 78 29 85 22,
LE BABYLONE (72),Clubs,"Gay,Membre du SNEG&Co	",151 rue Nationale 72000 LE MANS,Le Mans,72000,Pays de la Loire,France,Soirées mythiques au Mans.,Club offrant piste de danse et cocktails dans une ambiance épique.,,,https://www.facebook.com/Le.Babylone.Le.Mans/,https://www.facebook.com/Le.Babylone.Le.Mans/,,,02 43 78 08 02,
CHEZ FRED,Restaurants,,12 Rue du Val de Loir 72340 LHOMME,Lhomme,72340,Pays de la Loire,France,Convivialité à Lhomme.,"Chez Fred est un restaurant convivial à L'Homme proposant cuisine maison avec produits locaux, menu midi, carte soir/week-end, parking gratuit, terrasse.",,,https://www.chezfredlhomme.fr/,,,,02 43 46 10 65,
KING SAUNA (74),Saunas,"Gay,Membre du SNEG&Co	",39 rue Jean Jaures 74100 AMBILLY,Ambilly,74100,Auvergne-Rhône-Alpes,France,Détente royale à Ambilly.,"Le Kingsauna est un club privé gay et libertin à Ambilly depuis 1979, avec interventions de dépistage et plateforme d'achat via partenaire FUNDISTRI.",,,https://www.kingsauna.net/,,,,04 50 38 68 12,
MILK,Bars,,1 bis Rue du Père Adam 76000 ROUEN,Rouen,76000,Normandie,France,Fraîcheur et détente à Rouen.,"Le Milk est un bar de nuit LGBT+ à Rouen depuis 2015, offrant ambiance électro, soirées thématiques, B&B, privatisation, contre discriminations. Élu bar préféré 2024.",,,https://www.bar-milk.com/,https://www.facebook.com/milkrouen/,,,,
SAUNA LE RIVE DROITE,Saunas,,177 Route de Paris 76920 AMFREVILLE LA MIVOIE,Amfreville La Mivoie,76920,Normandie,France,Relaxation au bord de la Seine.,"Sauna Le Rive Droite est un établissement dédié aux hommes, avec horaires du lundi au jeudi 12h-00h, vendredi 12h-02h, samedi 14h-02h, dimanche 14h-00h. Tarifs : 20-25€ incluant consommation.",,,https://lerive-droite.com/,https://www.facebook.com/pg/177routedeparis/posts/?ref=page_internal,,,02 32 12 56 29,
LE TRIOME,Bars,,4 Rue des Grenadiers 81000 ALBI,Albi,81000,Occitanie,France,Soirées vibrantes à Albi.,Club proposant piste de danse et cocktails dans une ambiance festive.,,,https://www.facebook.com/LETRIOME/,https://www.facebook.com/LETRIOME/,,,05 63 43 50 07,
LE MACUMBA,Saunas,Membre du SNEG&Co,15 Rue Gouvion 85000 LA ROCHE SUR YON,La Roche sur Yon,85000,Pays de la Loire,France,Dansez jusqu’au bout de la nuit.,Club animé offrant soirées dansantes et cocktails dans une ambiance électrique.,,,https://www.macumbaclub.fr/,https://www.facebook.com/macumbaclubRSY/,https://www.instagram.com/macumbaclublrsy/,macumba.lrsy@gmail.com,02 51 05 54 53,
SAUNA EROS - ELLE ET LUI,Saunas,,6-8 Rue Jean Jaurès 87000 LIMOGES,Limoges,87000,Nouvelle-Aquitaine,France,Détente pour tous à Limoges.,Sauna mixte proposant hammam et jacuzzi dans une ambiance accueillante.,,,https://www.sauna-eros-elleetlui-limoges.com/,https://www.facebook.com/p/SAUNA-EROS-Limoges-100063620137523/,,,05 55 14 42 41,
SAUNA ICAUNAIS MIXTE,Saunas,,8 Rue Denis Papin 89000 AUXERRE,Auxerre,89000,Bourgogne-Franche-Comté,France,Relaxation pour tous à Auxerre.,Sauna mixte offrant hammam et espace lounge dans une ambiance chaleureuse.,,,https://www.facebook.com/p/Sauna-Icaunais-Mixte-100063585820577/,https://www.facebook.com/p/Sauna-Icaunais-Mixte-100063585820577/,,,03 86 42 76 87,
DS,Clubs,"Gay,Membre du SNEG&Co	",97 bis Rue des Bleuets 94000 CRETEIL,Creteil,94000,Île-de-France,France,Soirées audacieuses à Créteil.,Club proposant piste de danse et cocktails dans une ambiance moderne.,,,https://www.facebook.com/DS-Creteil/,https://www.facebook.com/DS-Creteil/,,,,
EROTIC SHOP 974,Boutiques,"Gay,Membre du SNEG&Co	",15 Rue Amiral Lacaze 97400 SAINT DENIS LA REUNION,Saint-Denis La Réunion,97400,La Réunion,France,Explorez vos envies à La Réunion.,"EroticShop est un love and sex shop à Saint-Denis de La Réunion depuis 20 ans, proposant lingerie, sex toys, aphrodisiaques, poppers et films, avec discrétion et confidentialité.",,,http://www.eroticshop974.re/,https://www.facebook.com/p/Erotic-Shop-R%C3%A9union-974-100086910357668/,https://www.instagram.com/eroticshop.974/?hl=fr,eroticshop974@gmail.com,02 62 41 15 05,
BUBBLES,Saunas,"Gay,Membre du SNEG&Co	",18 Boulevard de la Providence 97400 SAINT DENIS LA REUNION,Saint-Denis La Réunion,97400,La Réunion,France,Détente tropicale à La Réunion.,Sauna et bar offrant une ambiance exotique avec hammam et cocktails.,,,https://bubbles.re/,https://www.facebook.com/248800751974620/,,,,
